title,url,tag
Bundesarbeitsminister: Heil kündigt leichten Anstieg von Rentenbeiträgen nach 2025 an,https://www.zeit.de/politik/deutschland/2023-03/bundesarbeitsminister-hubertur-heil-rente-beitraege-anstieg-2025,"""Hubertus Heil"", ""Rente"", ""SPD"", ""Sozialversicherung"", ""Altersvorsorge"", ""Arbeitnehmer"", ""Rentenbeitrag"""
Türkei: Türkisches Oppositionsbündnis zerbricht wenige Wochen vor Wahl,https://www.zeit.de/politik/ausland/2023-03/tuerkei-wahl-opposition-buendnis-erdogan,"""Türkei"", ""Präsidentenwahl"", ""Recep Tayyip Erdogan"", ""HDP"", ""Opposition"", ""Meral Aksener"", ""Republikanische Volkspartei"", ""Oppositionsbündnis"", ""\u0130yi Parti"""
(Z+) Jugendliche und psychische Erkrankungen: hAn die Zukunft kann ich gar nicht denkenh,https://www.zeit.de/2023/10/psychische-erkrankungen-jugendliche-kinder-schweiz,"""Jugendliche"", ""Psychiatrie"", ""psychische Störung"", ""Psychotherapie"", ""Schweiz"""
Lebensziele: Was raten Sie Ihrem zukünftigen Ich?,https://www.zeit.de/zeit-magazin/leben/2023-02/zukuenftiges-ich-brief-wuensche,"""Altersvorsorge"", ""Partnerschaft"", ""Freundschaft"", ""Work-Life-Balance"", ""Familie"", ""Arbeitsplatz"""
"hUglyh von Slowthai: Schreien, bis es wahr wird",https://www.zeit.de/kultur/musik/2023-02/slowthai-ugly-musikalbum-rezension,"""Musik"", ""Großbritannien"", ""Hip-Hop"", ""Rockmusik"", ""Brexit"", ""Psychologie"", ""Igor Anfang"", ""Tyron Frampton"", ""Northampton"", ""Debütalbum"""
New Work: Hat sich Ihre Einstellung zur Arbeit geändert?,https://www.zeit.de/arbeit/2023-02/new-work-arbeitsplatz-home-office-generation-z-aufruf,"""Arbeitsplatz"", ""New Work"", ""Teilzeit"", ""Generation Z"", ""Arbeitsmodell"", ""Homeoffice"", ""Arbeitsalltag"", ""Aufruf"""
(Z+) NS-Propaganda: Heldenlied mit Würgen in der Kehle,https://www.zeit.de/zeit-geschichte/2023/01/ns-propaganda-stalingrad-6-armee-adolf-hitler,"""Zweiter Weltkrieg"", ""Nationalsozialismus"", ""Wehrmacht"", ""Stalingrad"", ""Joseph Goebbels"", ""Propaganda"""
"(Z+) Taschengeld-App Bling: Mama, lädst du meine Mastercard?",https://www.zeit.de/wirtschaft/2023-02/taschengeld-app-bling-kinder-eltern,"""Eltern"", ""Kinder"", ""Familie"", ""Geld"", ""Finanzen"", ""Start-up"", ""App"", ""Taschengeld"", ""Bargeld"", ""Kartenzahlung"""
Chancengleichheit : Was ist los an unseren Schulen?,https://www.zeit.de/politik/2023-03/chancengleichheit-schule-bildung-sozialer-aufstieg-politikpodcast,"""Schule"", ""Bildung"", ""Lehrer"", ""Schulsystem"", ""Chancengerechtigkeit"", ""Aufstieg"", ""Chancengleichheit"""
\u00d6ffentlich-rechtlicher Rundfunk: Martina Zöllner wird neue rbb-Programmdirektorin,https://www.zeit.de/gesellschaft/2023-03/rbb-martina-zoellner-programmdirektorin-oeffentlich-rechtlicher-rundfunk,"""RBB"", ""\u00d6ffentlich-rechtlicher Rundfunk"", ""Rundfunk"", ""Berlin"", ""Martina Zöllner"", ""Patricia Schlesinger"""
(Z+) Weltordnung: Die Tage des Westens sind gezählt,https://www.zeit.de/2023/10/weltordnung-westen-krieg-ukraine,"""Krieg in der Ukraine"", ""Russland"", ""Sowjetunion"", ""USA"", ""Europa"", ""China"""
